Unnamed: 0,path,speaker,text
37,cscd/01/S001F001P000W00037.wav,1,[ZH]愿我们都能以一颗感恩之心[ZH]
585,cscd/01/S001F002P000W00024.wav,1,[ZH]社会的需要[ZH]
93,cscd/01/S001F011P000W00016.wav,1,[ZH]让我更新了观念[ZH]
449,cscd/01/S001F017P000W00025.wav,1,[ZH]守则等也要学习法律常识[ZH]
512,cscd/01/S001F018P000W00039.wav,1,[ZH]从而从之其不善者改之[ZH]
1178,cscd/02/S002F001P000W00066.wav,2,[ZH]会对市场造成[ZH]
1741,cscd/02/S002F005P000W00022.wav,2,[ZH]首席执法行布[ZH]
1835,cscd/02/S002F006P000W00036.wav,2,[ZH]十四点六亿[ZH]
1733,cscd/02/S002F005P000W00014.wav,2,[ZH]列芯片[ZH]
2027,cscd/02/S002F008P000W00075.wav,2,[ZH]对于北京[ZH]
2196,cscd/03/S003F010P000W00010.wav,3,[ZH]因为因因因为[ZH]
2762,cscd/03/S003F006P000W00031.wav,3,[ZH]也为为[ZH]
2383,cscd/03/S003F012P000W00063.wav,3,[ZH]投资和省省级[ZH]
2950,cscd/03/S003F008P000W00051.wav,3,[ZH]和和小[ZH]
2808,cscd/03/S003F006P000W00077.wav,3,[ZH]今久正是在[ZH]
3328,cscd/04/S004F012P000W00073.wav,4,[ZH]国务院发展[ZH]
3910,cscd/04/S004F007P000W00051.wav,4,[ZH]城投债作为一个信用商品[ZH]
3670,cscd/04/S004F004P000W00024.wav,4,[ZH]婚姻风险隔断[ZH]
3759,cscd/04/S004F005P000W00046.wav,4,[ZH]可以更好地体现[ZH]
3187,cscd/04/S004F011P000W00006.wav,4,[ZH]鼓励传统纺织家电[ZH]
4296,cscd/05/S005F014P000W00014.wav,5,[ZH]它必须尽量做到只针对敌[ZH]
5245,cscd/05/S005F009P000W00013.wav,5,[ZH]百分之三[ZH]
5027,cscd/05/S005F029P000W00087.wav,5,[ZH]竞争对手哈萨克斯坦在这一点[ZH]
5189,cscd/05/S005F008P000W00000.wav,5,[ZH]作为城投债券发行监管部门[ZH]
